id,name,city,state,law_branch,parent_id,jurisdiction
,"tercer tribunal laboral federal de asuntos individuales en el estado de chiapas, con sede en tuxtla gutiérrez",tuxtla gutiérrez,chiapas,laboral,1,federal
,"tribunal laboral federal de asuntos individuales en el estado de nayarit, con sede en tepic",tepic,nayarit,laboral,1,federal
,"tribunal laboral federal de asuntos individuales en el estado de hidalgo, con sede en pachuca",pachuca,hidalgo,laboral,1,federal
,"primer tribunal laboral federal de asuntos individuales en el estado de hidalgo, con sede en pachuca",pachuca,hidalgo,laboral,1,federal
,"segundo tribunal laboral federal de asuntos individuales en el estado de hidalgo, con sede en pachuca",pachuca,hidalgo,laboral,1,federal
,"tercer tribunal laboral federal de asuntos individuales en el estado de hidalgo, con sede en pachuca",pachuca,hidalgo,laboral,1,federal
,"primer tribunal laboral federal de asuntos individuales en el estado de tlaxcala, con sede en tlaxcala",tlaxcala,tlaxcala,laboral,1,federal
,"segundo tribunal laboral federal de asuntos individuales en el estado de tlaxcala, con sede en tlaxcala",tlaxcala,tlaxcala,laboral,1,federal
,"tercer tribunal laboral federal de asuntos individuales en el estado de tlaxcala, con sede en tlaxcala",tlaxcala,tlaxcala,laboral,1,federal
,"tribunal laboral federal de asuntos individuales en el estado de guerrero, con sede en acapulco",acapulco,guerrero,laboral,1,federal
,"tribunal laboral federal de asuntos individuales en el estado de durango, con sede en durango",durango,durango,laboral,1,federal
,"primer tribunal laboral federal de asuntos individuales en el estado de durango, con sede en durango",durango,durango,laboral,1,federal
,"segundo tribunal laboral federal de asuntos individuales en el estado de durango, con sede en durango",durango,durango,laboral,1,federal
,"segundo tribunal laboral federal de asuntos individuales en el estado de querétaro, con sede en querétaro",querétaro,querétaro,laboral,1,federal
,"tribunal laboral federal de asuntos individuales en el estado de quintana roo, con sede en cancún",cancún,quintana roo,laboral,1,federal
,"primer tribunal laboral federal de asuntos individuales en el estado de querétaro, con sede en querétaro",querétaro,querétaro,laboral,1,federal
,"tribunal laboral federal de asuntos individuales en el estado de baja california sur, con sede en la paz",la paz,baja california sur,laboral,1,federal
,"tribunal laboral federal de asuntos individuales en el estado de zacatecas, con sede en zacatecas",zacatecas,zacatecas,laboral,1,federal
,"primer tribunal laboral federal de asuntos individuales en el estado de zacatecas, con sede en zacatecas",zacatecas,zacatecas,laboral,1,federal
,"segundo tribunal laboral federal de asuntos individuales en el estado de zacatecas, con sede en zacatecas",zacatecas,zacatecas,laboral,1,federal
